hand,count,raw_equity,raw_rank,action_equity_norm,action_equity_rank,rank_diff
AA,35904,0.775242,1,0.269090,1,0
KK,35904,0.720957,2,0.198673,2,0
QQ,35904,0.693164,3,0.156338,3,0
JJ,35904,0.666761,4,0.118710,4,0
JTs,23936,0.631145,7,0.111042,5,2
AKs,23936,0.637752,6,0.092256,6,0
QJs,23936,0.620774,10,0.088121,7,3
QTs,23936,0.620110,11,0.087905,8,3
TT,35904,0.642677,5,0.086256,9,-4
AQs,23936,0.626649,8,0.079606,10,-2
AJs,23936,0.622539,9,0.078476,11,-2
KQs,23936,0.619520,12,0.077624,12,0
KTs,23936,0.612814,13,0.073882,13,0
ATs,23936,0.612629,14,0.069891,14,0
KJs,23936,0.611389,15,0.069321,15,0
JTo,71808,0.603036,17,0.066493,16,1
QJo,71808,0.589039,19,0.037894,17,2
AKo,71808,0.603885,16,0.037537,18,-2
QTo,71808,0.588296,20,0.036893,19,1
A9s,23936,0.580244,23,0.024625,20,3
KQo,71808,0.585908,22,0.023506,21,1
AQo,71808,0.590987,18,0.019280,22,-4
KTo,71808,0.578451,24,0.017014,23,1
T9s,23936,0.562668,28,0.015866,24,4
AJo,71808,0.585943,21,0.014743,25,-4
KJo,71808,0.576823,25,0.013479,26,-1
A8s,23936,0.565129,27,0.004891,27,0
ATo,71808,0.573654,26,0.000709,28,-2
J9s,23936,0.547681,31,-0.013255,29,2
A7s,23936,0.550922,30,-0.018219,30,0
Q9s,23936,0.539921,32,-0.031280,31,1
99,35904,0.551737,29,-0.033904,32,-3
A6s,23936,0.538792,33,-0.034448,33,0
K9s,23936,0.536787,34,-0.038410,34,0
T9o,71808,0.524255,36,-0.045633,35,1
T8s,23936,0.517679,37,-0.049317,36,1
A9o,71808,0.534958,35,-0.056209,37,-2
98s,23936,0.504107,41,-0.068752,38,3
J8s,23936,0.504263,40,-0.078339,39,1
J9o,71808,0.505949,39,-0.080567,40,-1
A8o,71808,0.515942,38,-0.080673,41,-3
Q8s,23936,0.495929,43,-0.096982,42,1
K8s,23936,0.493770,46,-0.100401,43,3
K7s,23936,0.493920,45,-0.102872,44,1
K6s,23936,0.491931,47,-0.103132,45,2
Q9o,71808,0.494996,44,-0.105062,46,-2
A7o,71808,0.498693,42,-0.105793,47,-5
T7s,23936,0.480654,50,-0.106903,48,2
97s,23936,0.473733,51,-0.112298,49,2
K9o,71808,0.487433,48,-0.121508,50,-2
T8o,71808,0.472271,52,-0.122491,51,1
A6o,71808,0.483417,49,-0.126058,52,-3
J7s,23936,0.468825,54,-0.133197,53,1
Q6s,23936,0.470339,53,-0.134845,54,-1
T6s,23936,0.454220,59,-0.143226,55,4
98o,71808,0.458235,57,-0.146168,56,1
Q7s,23936,0.460935,55,-0.149340,57,-2
88,35904,0.460840,56,-0.150613,58,-2
96s,23936,0.445079,60,-0.156086,59,1
J8o,71808,0.454759,58,-0.158723,60,-2
J6s,23936,0.443169,61,-0.167744,61,0
87s,23936,0.427412,67,-0.180715,62,5
Q8o,71808,0.442010,62,-0.186200,63,-1
T7o,71808,0.429137,66,-0.189460,64,2
K8o,71808,0.436501,63,-0.198349,65,-2
97o,71808,0.422336,68,-0.199141,66,2
K7o,71808,0.435806,64,-0.200769,67,-3
K6o,71808,0.432685,65,-0.202640,68,-3
86s,23936,0.402557,71,-0.218713,69,2
J7o,71808,0.412692,69,-0.224342,70,-1
Q6o,71808,0.412424,70,-0.230628,71,-1
T6o,71808,0.398472,73,-0.233575,72,1
Q7o,71808,0.400948,72,-0.249505,73,-1
96o,71808,0.388322,74,-0.251204,74,0
J6o,71808,0.382933,75,-0.266981,75,0
77,35904,0.375442,76,-0.267793,76,0
87o,71808,0.370358,77,-0.278559,77,0
76s,23936,0.360142,78,-0.289841,78,0
86o,71808,0.340599,79,-0.324701,79,0
66,35904,0.316691,80,-0.355253,80,0
76o,71808,0.294052,81,-0.404633,81,0
