hand,samples,opp_classes,raw_equity,raw_rank,action_equity_norm,action_equity_rank,rank_diff
AA,999997,757,0.8521,1,0.6086,1,0
KK,999997,757,0.8239,2,0.5399,2,0
QQ,999997,757,0.8000,3,0.4866,3,0
JJ,999997,757,0.7742,4,0.4196,4,0
TT,999997,757,0.7507,5,0.3651,5,0
AKs,999708,367,0.6701,8,0.3411,6,2
AKo,999997,757,0.6526,12,0.3294,7,5
AQs,999708,367,0.6609,10,0.3158,8,2
AJs,999708,367,0.6527,11,0.3041,9,2
AQo,999997,757,0.6441,14,0.3037,10,4
99,999997,757,0.7210,6,0.2980,11,-5
ATs,999708,367,0.6468,13,0.2906,12,1
AJo,999997,757,0.6353,15,0.2879,13,2
KQs,999708,367,0.6322,17,0.2777,14,3
ATo,999997,757,0.6268,20,0.2658,15,5
KQo,999997,757,0.6146,23,0.2564,16,7
KJs,999708,367,0.6270,19,0.2561,17,2
A9s,999708,367,0.6280,18,0.2553,18,0
KTs,999708,367,0.6180,22,0.2391,19,3
A8s,999708,367,0.6194,21,0.2360,20,1
88,999997,757,0.6922,7,0.2279,21,-14
KJo,999997,757,0.6050,26,0.2279,22,4
A9o,999997,757,0.6087,25,0.2274,23,2
KTo,999997,757,0.5970,33,0.2163,24,9
A7s,999708,367,0.6104,24,0.2154,25,-1
QJs,999708,367,0.6023,28,0.2102,26,2
K9s,999708,367,0.5999,29,0.2093,27,2
A8o,999997,757,0.5992,31,0.2072,28,3
A6s,999708,367,0.5984,32,0.2023,29,3
A5s,999708,367,0.5994,30,0.1970,30,0
QTs,999708,367,0.5946,34,0.1907,31,3
A4s,999708,367,0.5904,35,0.1877,32,3
A7o,999997,757,0.5887,36,0.1838,33,3
QJo,999997,757,0.5810,39,0.1836,34,5
K8s,999708,367,0.5826,37,0.1744,35,2
A3s,999708,367,0.5812,38,0.1719,36,2
K9o,999997,757,0.5771,41,0.1707,37,4
QTo,999997,757,0.5730,47,0.1631,38,9
77,999997,757,0.6626,9,0.1626,39,-30
K7s,999708,367,0.5754,45,0.1605,40,5
Q9s,999708,367,0.5765,42,0.1589,41,1
A6o,999997,757,0.5755,43,0.1574,42,1
A2s,999708,367,0.5742,46,0.1571,43,3
A5o,999997,757,0.5771,40,0.1547,44,-4
JTs,999708,367,0.5755,44,0.1524,45,-1
K6s,999708,367,0.5671,50,0.1474,46,4
K8o,999997,757,0.5603,51,0.1407,47,4
A4o,999997,757,0.5675,49,0.1366,48,1
K5s,999708,367,0.5579,54,0.1272,49,5
Q8s,999708,367,0.5593,52,0.1266,50,2
Q9o,999997,757,0.5535,56,0.1191,51,5
JTo,999997,757,0.5533,57,0.1191,52,5
K7o,999997,757,0.5515,58,0.1180,53,5
A3o,999997,757,0.5580,53,0.1160,54,-1
J9s,999708,367,0.5569,55,0.1126,55,0
K4s,999708,367,0.5491,59,0.1120,56,3
A2o,999997,757,0.5491,60,0.1029,57,3
K3s,999708,367,0.5405,65,0.1014,58,7
K6o,999997,757,0.5424,62,0.0989,59,3
66,999997,757,0.6325,16,0.0950,60,-44
Q7s,999708,367,0.5434,61,0.0950,61,0
Q8o,999997,757,0.5354,68,0.0880,62,6
Q6s,999708,367,0.5364,67,0.0871,63,4
J8s,999708,367,0.5406,64,0.0870,64,0
K2s,999708,367,0.5321,71,0.0863,65,6
K5o,999997,757,0.5331,69,0.0806,66,3
T9s,999708,367,0.5412,63,0.0781,67,-4
J9o,999997,757,0.5328,70,0.0698,68,2
K4o,999997,757,0.5243,73,0.0647,69,4
Q5s,999708,367,0.5281,72,0.0646,70,2
Q7o,999997,757,0.5177,77,0.0558,71,6
Q4s,999708,367,0.5184,76,0.0507,72,4
K3o,999997,757,0.5145,80,0.0486,73,7
J7s,999708,367,0.5228,75,0.0480,74,1
T8s,999708,367,0.5230,74,0.0435,75,-1
J8o,999997,757,0.5152,79,0.0432,76,3
T9o,999997,757,0.5164,78,0.0353,77,1
K2o,999997,757,0.5053,86,0.0344,78,8
Q6o,999997,757,0.5102,81,0.0327,79,2
Q3s,999708,367,0.5102,82,0.0314,80,2
55,999997,757,0.6031,27,0.0313,81,-54
Q2s,999708,367,0.5010,89,0.0224,82,7
J6s,999708,367,0.5060,85,0.0206,83,2
Q5o,999997,757,0.5012,88,0.0144,84,4
T7s,999708,367,0.5069,84,0.0110,85,-1
J5s,999708,367,0.5000,90,0.0077,86,4
J7o,999997,757,0.4959,92,0.0045,87,5
98s,999708,367,0.5080,83,0.0019,88,-5
T8o,999997,757,0.4971,91,0.0010,89,2
Q4o,999997,757,0.4913,94,-0.0083,90,4
J4s,999708,367,0.4908,95,-0.0114,91,4
T6s,999708,367,0.4895,96,-0.0188,92,4
Q3o,999997,757,0.4819,98,-0.0197,93,5
J3s,999708,367,0.4823,97,-0.0259,94,3
J6o,999997,757,0.4788,102,-0.0282,95,7
97s,999708,367,0.4915,93,-0.0293,96,-3
J2s,999708,367,0.4739,104,-0.0348,97,7
T7o,999997,757,0.4798,100,-0.0354,98,2
Q2o,999997,757,0.4733,105,-0.0361,99,6
44,999997,757,0.5708,48,-0.0397,100,-52
98o,999997,757,0.4811,99,-0.0397,101,-2
J5o,999997,757,0.4723,107,-0.0481,102,5
87s,999708,367,0.4792,101,-0.0502,103,-2
T5s,999708,367,0.4725,106,-0.0536,104,2
96s,999708,367,0.4745,103,-0.0565,105,-2
T4s,999708,367,0.4648,108,-0.0605,106,2
J4o,999997,757,0.4613,111,-0.0670,107,4
T6o,999997,757,0.4610,112,-0.0676,108,4
97o,999997,757,0.4631,109,-0.0703,109,0
T3s,999708,367,0.4569,113,-0.0780,110,3
J3o,999997,757,0.4529,116,-0.0808,111,5
86s,999708,367,0.4622,110,-0.0861,112,-2
95s,999708,367,0.4565,114,-0.0917,113,1
T2s,999708,367,0.4486,118,-0.0930,114,4
J2o,999997,757,0.4439,121,-0.0989,115,6
87o,999997,757,0.4508,117,-0.1011,116,1
76s,999708,367,0.4538,115,-0.1052,117,-2
T5o,999997,757,0.4418,122,-0.1093,118,4
33,999997,757,0.5381,66,-0.1102,119,-53
96o,999997,757,0.4450,120,-0.1117,120,0
85s,999708,367,0.4461,119,-0.1170,121,-2
T4o,999997,757,0.4354,125,-0.1190,122,3
94s,999708,367,0.4385,123,-0.1221,123,0
93s,999708,367,0.4327,126,-0.1312,124,2
75s,999708,367,0.4369,124,-0.1372,125,-1
86o,999997,757,0.4316,128,-0.1411,126,2
95o,999997,757,0.4273,129,-0.1418,127,2
T3o,999997,757,0.4254,131,-0.1424,128,3
92s,999708,367,0.4248,132,-0.1475,129,3
84s,999708,367,0.4261,130,-0.1481,130,0
65s,999708,367,0.4319,127,-0.1552,131,-4
T2o,999997,757,0.4171,135,-0.1575,132,3
76o,999997,757,0.4228,133,-0.1651,133,0
74s,999708,367,0.4186,134,-0.1688,134,0
85o,999997,757,0.4144,136,-0.1767,135,1
22,999997,757,0.5034,87,-0.1776,136,-49
83s,999708,367,0.4093,139,-0.1814,137,2
64s,999708,367,0.4133,138,-0.1827,138,0
94o,999997,757,0.4069,140,-0.1829,139,1
82s,999708,367,0.4030,142,-0.1890,140,2
54s,999708,367,0.4143,137,-0.1917,141,-4
93o,999997,757,0.3996,144,-0.1972,142,2
73s,999708,367,0.4001,143,-0.1987,143,0
75o,999997,757,0.4049,141,-0.1987,144,-3
84o,999997,757,0.3947,148,-0.2132,145,3
65o,999997,757,0.3996,145,-0.2145,146,-1
63s,999708,367,0.3952,147,-0.2163,147,0
92o,999997,757,0.3906,149,-0.2172,148,1
53s,999708,367,0.3958,146,-0.2209,149,-3
74o,999997,757,0.3855,151,-0.2343,150,1
72s,999708,367,0.3806,153,-0.2359,151,2
43s,999708,367,0.3867,150,-0.2410,152,-2
62s,999708,367,0.3761,156,-0.2453,153,3
83o,999997,757,0.3735,157,-0.2469,154,3
64o,999997,757,0.3801,154,-0.2493,155,-1
52s,999708,367,0.3792,155,-0.2496,156,-1
54o,999997,757,0.3810,152,-0.2584,157,-5
82o,999997,757,0.3692,158,-0.2596,158,0
42s,999708,367,0.3682,159,-0.2691,159,0
73o,999997,757,0.3656,160,-0.2726,160,0
63o,999997,757,0.3600,162,-0.2851,161,1
32s,999708,367,0.3593,163,-0.2874,162,1
53o,999997,757,0.3624,161,-0.2899,163,-2
72o,999997,757,0.3457,165,-0.3090,164,1
43o,999997,757,0.3517,164,-0.3133,165,-1
62o,999997,757,0.3405,167,-0.3214,166,1
52o,999997,757,0.3427,166,-0.3288,167,-1
42o,999997,757,0.3318,168,-0.3497,168,0
32o,999997,757,0.3234,169,-0.3689,169,0
