hand,samples,opp_classes,raw_equity,raw_rank,action_equity_norm,action_equity_rank,rank_diff
AA,999810,345,0.7310,1,0.3891,1,0
KK,999810,345,0.6893,2,0.3164,2,0
QQ,999810,345,0.6642,3,0.2685,3,0
AKs,999900,165,0.6106,6,0.2389,4,2
AKo,999810,345,0.5939,8,0.2246,5,3
AQs,999900,165,0.6014,7,0.2150,6,1
JJ,999810,345,0.6387,4,0.2085,7,-3
AQo,999810,345,0.5853,11,0.1986,8,3
AJs,999900,165,0.5938,9,0.1957,9,0
KQs,999900,165,0.5882,10,0.1956,10,0
KQo,999810,345,0.5704,17,0.1846,11,6
AJo,999810,345,0.5776,14,0.1822,12,2
KJs,999900,165,0.5792,13,0.1811,13,0
ATs,999900,165,0.5793,12,0.1691,14,-2
KTs,999900,165,0.5729,16,0.1640,15,1
KJo,999810,345,0.5625,21,0.1630,16,5
ATo,999810,345,0.5617,22,0.1551,17,5
QJs,999900,165,0.5755,15,0.1490,18,-3
KTo,999810,345,0.5559,25,0.1437,19,6
TT,999810,345,0.6126,5,0.1436,20,-15
QJo,999810,345,0.5590,24,0.1371,21,3
A9s,999900,165,0.5599,23,0.1251,22,1
QTs,999900,165,0.5687,18,0.1247,23,-5
JTs,999900,165,0.5685,19,0.1144,24,-5
QTo,999810,345,0.5527,27,0.1085,25,2
A8s,999900,165,0.5460,28,0.1080,26,2
A9o,999810,345,0.5435,29,0.0967,27,2
JTo,999810,345,0.5539,26,0.0944,28,-2
A7s,999900,165,0.5255,34,0.0844,29,5
K9s,999900,165,0.5325,30,0.0810,30,0
A8o,999810,345,0.5275,31,0.0699,31,0
Q9s,999900,165,0.5273,33,0.0479,32,1
K9o,999810,345,0.5139,36,0.0472,33,3
A6s,999900,165,0.5032,42,0.0451,34,8
A7o,999810,345,0.5054,40,0.0340,35,5
J9s,999900,165,0.5252,35,0.0227,36,-1
K8s,999900,165,0.4975,43,0.0221,37,6
K7s,999900,165,0.4849,48,0.0143,38,10
T9s,999900,165,0.5274,32,0.0142,39,-7
Q9o,999810,345,0.5086,38,0.0106,40,-2
A6o,999810,345,0.4810,49,0.0047,41,8
99,999810,345,0.5633,20,0.0026,42,-22
Q8s,999900,165,0.4930,44,-0.0014,43,1
K8o,999810,345,0.4770,50,-0.0118,44,6
J9o,999810,345,0.5077,39,-0.0130,45,-6
K6s,999900,165,0.4633,56,-0.0190,46,10
T9o,999810,345,0.5101,37,-0.0259,47,-10
K7o,999810,345,0.4636,55,-0.0288,48,7
J8s,999900,165,0.4904,47,-0.0323,49,-2
T8s,999900,165,0.4915,46,-0.0417,50,-4
Q8o,999810,345,0.4725,53,-0.0451,51,2
Q7s,999900,165,0.4583,58,-0.0544,52,6
K6o,999810,345,0.4396,63,-0.0668,53,10
J8o,999810,345,0.4703,54,-0.0683,54,0
88,999810,345,0.5043,41,-0.0725,55,-14
Q6s,999900,165,0.4439,62,-0.0762,56,6
J7s,999900,165,0.4550,60,-0.0859,57,3
T8o,999810,345,0.4732,52,-0.0872,58,-6
98s,999900,165,0.4929,45,-0.0878,59,-14
Q7o,999810,345,0.4351,67,-0.0947,60,7
T7s,999900,165,0.4575,59,-0.0992,61,-2
J7o,999810,345,0.4339,68,-0.1228,62,6
97s,999900,165,0.4600,57,-0.1229,63,-6
98o,999810,345,0.4736,51,-0.1233,64,-13
Q6o,999810,345,0.4211,70,-0.1236,65,5
J6s,999900,165,0.4184,72,-0.1371,66,6
T7o,999810,345,0.4362,66,-0.1387,67,-1
T6s,999900,165,0.4197,71,-0.1508,68,3
87s,999900,165,0.4366,65,-0.1596,69,-4
97o,999810,345,0.4396,64,-0.1644,70,-6
96s,999900,165,0.4252,69,-0.1659,71,-2
77,999810,345,0.4475,61,-0.1697,72,-11
J6o,999810,345,0.3946,77,-0.1868,73,4
T6o,999810,345,0.3969,76,-0.2016,74,2
87o,999810,345,0.4129,73,-0.2115,75,-2
86s,999900,165,0.4016,74,-0.2147,76,-2
96o,999810,345,0.4010,75,-0.2333,77,-2
76s,999900,165,0.3793,79,-0.2418,78,1
66,999810,345,0.3880,78,-0.2582,79,-1
86o,999810,345,0.3778,80,-0.2657,80,0
76o,999810,345,0.3535,81,-0.3057,81,0
