hand,count,raw_equity,raw_rank,action_equity_norm,action_equity_rank,rank_diff
AA,278256,0.722765,1,0.210224,1,0
KK,278256,0.681333,2,0.153646,2,0
QQ,278256,0.656324,3,0.120966,3,0
JJ,278256,0.631040,4,0.088877,4,0
TT,278256,0.605298,5,0.057746,5,0
AKs,185504,0.596439,6,0.048299,6,0
JTs,185504,0.551447,21,0.043877,7,14
AQs,185504,0.586811,7,0.043471,8,-1
AJs,185504,0.579945,9,0.043315,9,0
ATs,185504,0.567664,12,0.034899,10,2
QTs,185504,0.553193,19,0.033511,11,8
KTs,185504,0.559849,15,0.032079,12,3
QJs,185504,0.556395,17,0.031210,13,4
KQs,185504,0.570544,10,0.031071,14,-4
KJs,185504,0.562726,14,0.027919,15,-1
AKo,556512,0.580115,8,0.006758,16,-8
A9s,185504,0.552151,20,0.005753,17,3
JTo,556512,0.536030,28,0.004851,18,10
AQo,556512,0.570542,11,-0.002906,19,-8
A8s,185504,0.545110,24,-0.005274,20,4
AJo,556512,0.563752,13,-0.006624,21,-8
QTo,556512,0.537101,27,-0.009180,22,5
QJo,556512,0.540074,26,-0.010252,23,3
KQo,556512,0.553812,18,-0.011150,24,-6
KTo,556512,0.543368,25,-0.014452,25,0
99,278256,0.556496,16,-0.016497,26,-10
KJo,556512,0.546008,23,-0.017241,27,-4
ATo,556512,0.551154,22,-0.018752,28,-6
A7s,185504,0.535000,29,-0.020535,29,0
T9s,185504,0.511575,36,-0.020628,30,6
A6s,185504,0.524537,32,-0.031009,31,1
J9s,185504,0.511332,37,-0.034367,32,5
K9s,185504,0.522449,33,-0.036424,33,0
Q9s,185504,0.515499,35,-0.039213,34,1
A9o,556512,0.534918,30,-0.052659,35,-5
T8s,185504,0.486431,47,-0.059573,36,11
A8o,556512,0.527101,31,-0.064801,37,-6
T9o,556512,0.494751,43,-0.067117,38,5
J8s,185504,0.485927,48,-0.073713,39,9
K8s,185504,0.495213,42,-0.075642,40,2
K7s,185504,0.493963,44,-0.077062,41,3
98s,185504,0.482820,50,-0.078110,42,8
Q8s,185504,0.489085,46,-0.078532,43,3
K6s,185504,0.485371,49,-0.082143,44,5
A7o,556512,0.516054,34,-0.082162,45,-11
J9o,556512,0.493721,45,-0.083867,46,-1
Q9o,556512,0.497417,41,-0.091842,47,-6
T7s,185504,0.465050,59,-0.092350,48,11
K9o,556512,0.504039,39,-0.093278,49,-10
A6o,556512,0.504654,38,-0.094213,50,-12
88,278256,0.501284,40,-0.095960,51,-11
97s,185504,0.465375,58,-0.103385,52,6
Q6s,185504,0.466715,55,-0.103542,53,2
J7s,185504,0.463701,62,-0.106668,54,8
T8o,556512,0.467974,54,-0.111313,55,-1
Q7s,185504,0.465994,57,-0.111664,56,1
T6s,185504,0.443926,69,-0.115681,57,12
96s,185504,0.447911,64,-0.125177,58,6
J8o,556512,0.466701,56,-0.128634,59,-3
J6s,185504,0.441281,71,-0.130465,60,11
98o,556512,0.464694,60,-0.132266,61,-1
Q8o,556512,0.469340,53,-0.136622,62,-9
K8o,556512,0.475105,51,-0.138020,63,-12
K7o,556512,0.473482,52,-0.140457,64,-12
K6o,556512,0.464106,61,-0.146926,65,-4
T7o,556512,0.445239,67,-0.148188,66,1
87s,185504,0.437978,72,-0.149913,67,5
97o,556512,0.446124,65,-0.161399,68,-3
J7o,556512,0.443089,70,-0.165748,69,1
Q6o,556512,0.445310,66,-0.165980,70,-4
86s,185504,0.422527,75,-0.168620,71,4
77,278256,0.449791,63,-0.172353,72,-9
T6o,556512,0.422818,74,-0.173691,73,1
Q7o,556512,0.444824,68,-0.174007,74,-6
96o,556512,0.427626,73,-0.185512,75,-2
J6o,556512,0.419305,76,-0.192209,76,0
87o,556512,0.417617,77,-0.213040,77,0
76s,185504,0.398034,80,-0.215912,78,2
86o,556512,0.401245,79,-0.234120,79,0
66,278256,0.405132,78,-0.236351,80,-2
76o,556512,0.376068,81,-0.286485,81,0
